kode,species,cluster
2017-12-08_163098,I.oxyrinchus,4
2017-12-09_163098,I.oxyrinchus,5
2017-12-11_163098,I.oxyrinchus,5
2017-12-12_163098,I.oxyrinchus,4
2017-12-13_163098,I.oxyrinchus,2
2017-12-14_163098,I.oxyrinchus,4
2017-12-15_163098,I.oxyrinchus,5
2017-12-16_163098,I.oxyrinchus,5
2017-12-17_163098,I.oxyrinchus,4
2017-12-18_163098,I.oxyrinchus,5
2017-12-19_163098,I.oxyrinchus,4
2017-12-20_163098,I.oxyrinchus,2
2017-12-21_163098,I.oxyrinchus,5
2017-12-22_163098,I.oxyrinchus,2
2017-12-23_163098,I.oxyrinchus,4
2018-01-04_163096,I.oxyrinchus,4
2018-01-05_163096,I.oxyrinchus,4
2018-01-07_163096,I.oxyrinchus,4
2018-01-08_163096,I.oxyrinchus,4
2018-01-09_163096,I.oxyrinchus,4
2018-01-11_163096,I.oxyrinchus,4
2018-01-12_163096,I.oxyrinchus,4
2018-01-13_163096,I.oxyrinchus,4
2018-01-14_163096,I.oxyrinchus,4
2018-01-15_163096,I.oxyrinchus,4
2018-01-16_163096,I.oxyrinchus,4
2018-01-17_163096,I.oxyrinchus,4
2018-01-18_163096,I.oxyrinchus,4
2018-01-19_163096,I.oxyrinchus,4
2018-01-20_163096,I.oxyrinchus,4
2018-01-21_163096,I.oxyrinchus,4
2018-01-22_163096,I.oxyrinchus,4
2018-01-23_163096,I.oxyrinchus,4
2018-01-24_163096,I.oxyrinchus,4
2018-01-28_163096,I.oxyrinchus,4
2018-01-29_163096,I.oxyrinchus,4
2018-01-31_163096,I.oxyrinchus,4
2021-10-17_206771,I.oxyrinchus,1
2021-10-23_206771,I.oxyrinchus,4
2021-10-26_206771,I.oxyrinchus,4
2021-11-07_206771,I.oxyrinchus,2
2021-11-10_206771,I.oxyrinchus,4
