kode,species,cluster
2016-01-09_141256,P.glauca,5
2016-01-10_141256,P.glauca,5
2016-01-11_141256,P.glauca,1
2016-01-12_141256,P.glauca,1
2016-01-14_141256,P.glauca,5
2016-01-16_141256,P.glauca,1
2016-01-17_141256,P.glauca,5
2016-01-20_141256,P.glauca,1
2016-01-22_141256,P.glauca,4
2016-01-24_141256,P.glauca,1
2016-01-25_141256,P.glauca,1
2016-01-26_141256,P.glauca,1
2016-01-27_141256,P.glauca,1
2016-01-29_141256,P.glauca,1
2016-01-02_141257,I.oxyrinchus,2
2016-01-17_141257,I.oxyrinchus,2
2016-01-19_141257,I.oxyrinchus,2
2016-01-20_141257,I.oxyrinchus,2
2016-01-22_141257,I.oxyrinchus,1
2016-01-09_141259,P.glauca,5
2016-01-10_141259,P.glauca,5
2016-01-13_141259,P.glauca,5
2016-01-14_141259,P.glauca,5
2016-01-15_141259,P.glauca,4
2016-01-19_141259,P.glauca,5
2016-01-21_141259,P.glauca,5
2016-01-23_141259,P.glauca,5
2016-02-02_141254,P.glauca,3
2016-02-03_141254,P.glauca,3
2016-02-04_141254,P.glauca,3
2016-02-01_141256,P.glauca,3
2016-02-02_141256,P.glauca,1
2016-02-04_141256,P.glauca,5
2016-02-06_141256,P.glauca,1
2016-02-07_141256,P.glauca,5
2016-02-08_141256,P.glauca,5
2016-02-09_141256,P.glauca,2
2016-02-11_141256,P.glauca,5
2016-02-13_141256,P.glauca,5
2016-02-16_141256,P.glauca,5
2016-02-21_141256,P.glauca,5
2016-02-02_141257,I.oxyrinchus,1
2016-02-12_141257,I.oxyrinchus,1
2016-02-17_141257,I.oxyrinchus,2
2016-02-19_141257,I.oxyrinchus,2
2016-02-22_141257,I.oxyrinchus,1
2016-02-24_141257,I.oxyrinchus,4
2016-02-26_141257,I.oxyrinchus,2
2016-02-27_141257,I.oxyrinchus,2
2016-02-03_141259,P.glauca,4
2016-02-09_141259,P.glauca,3
2016-02-11_141259,P.glauca,3
2016-02-12_141259,P.glauca,3
2016-02-14_141259,P.glauca,3
2016-02-16_141259,P.glauca,3
2016-02-17_141259,P.glauca,3
2016-02-18_141259,P.glauca,3
2016-02-23_141259,P.glauca,3
2016-02-24_141259,P.glauca,4
2016-02-26_141259,P.glauca,3
2016-03-02_141257,I.oxyrinchus,1
2016-03-03_141257,I.oxyrinchus,1
2016-03-08_141257,I.oxyrinchus,5
2016-03-11_141257,I.oxyrinchus,5
2016-03-13_141257,I.oxyrinchus,1
2016-03-16_141257,I.oxyrinchus,4
2016-03-26_141257,I.oxyrinchus,4
2016-03-30_141257,I.oxyrinchus,5
2016-03-31_141257,I.oxyrinchus,4
2016-03-19_141259,P.glauca,4
2016-03-23_141259,P.glauca,4
2016-03-24_141259,P.glauca,3
2016-03-28_141259,P.glauca,2
2016-03-29_141259,P.glauca,4
2016-03-30_141259,P.glauca,2
2016-04-03_141257,I.oxyrinchus,1
