ptt,Date,d.b1,d.b2,d.b3,d.b4,d.b5,d.b6,d.b7,d.b8,d.sd,dn.x,n.b1,n.b2,n.b3,n.b4,n.b5,n.b6,n.b7,n.b8,n.sd,dn.y,species,kode,bathy
106754,2016-10-21,28.185328185328185,71.04247104247105,0.7722007722007722,0,0,0,0,0,7.971165880772271,d,64.35331230283911,35.646687697160885,0,0,0,0,0,0,6.851357260743255,n,P.glauca,2016-10-21_106754,-206.3699951171875
106754,2016-10-23,2.7237354085603114,96.88715953307393,0.38910505836575876,0,0,0,0,0,7.03064388870507,d,28.526645768025077,71.47335423197492,0,0,0,0,0,0,6.959401005604916,n,P.glauca,2016-10-23_106754,-157.72999572753906
106754,2016-10-24,78.44311377245509,20.958083832335326,0.5988023952095809,0,0,0,0,0,8.094907242626046,d,78.42323651452283,21.16182572614108,0.4149377593360996,0,0,0,0,0,6.096440671886897,n,P.glauca,2016-10-24_106754,-206.44000244140625
106754,2016-10-25,17.365269461077844,81.437125748502993,1.1976047904191618,0,0,0,0,0,12.138672807769732,d,79.27461139896373,15.544041450777202,5.181347150259067,0,0,0,0,0,13.590426198675976,n,P.glauca,2016-10-25_106754,-60.279998779296875
106754,2016-10-27,76.2135922330097,23.78640776699029,0,0,0,0,0,0,7.342231602616772,d,55.1094890510949,44.52554744525548,0.36496350364963503,0,0,0,0,0,7.614514389610703,n,P.glauca,2016-10-27_106754,-80.61000061035156
106754,2016-10-28,48.616600790513836,51.38339920948617,0,0,0,0,0,0,6.8848052037818,d,48.60335195530726,50.27932960893855,1.1173184357541899,0,0,0,0,0,9.34219287417031,n,P.glauca,2016-10-28_106754,-70.51333363850911
106754,2016-10-30,21.463414634146343,29.268292682926827,26.34146341463415,22.926829268292686,0,0,0,0,50.53702671177415,d,17.09090909090909,66.54545454545455,16.363636363636363,0,0,0,0,0,18.183350084768257,n,P.glauca,2016-10-30_106754,-110.32499694824219
106754,2016-11-01,21.951219512195124,9.146341463414634,19.51219512195122,32.926829268292686,16.463414634146343,0,0,0,81.30864577398808,d,41.83673469387755,39.795918367346935,18.367346938775512,0,0,0,0,0,22.189048329684624,n,P.glauca,2016-11-01_106754,-2144.489990234375
106754,2016-11-02,0,7.569721115537849,35.45816733067729,31.47410358565737,25.49800796812749,0,0,0,70.56682385853898,d,17.073170731707318,56.09756097560976,23.902439024390244,1.951219512195122,0.975609756097561,0,0,0,33.879168042614076,n,P.glauca,2016-11-02_106754,-2415.800008138021
106754,2016-11-03,7.4074074074074066,14.814814814814813,52.46913580246913,19.1358024691358,3.7037037037037033,2.4691358024691357,0,0,66.8879382322407,d,23.232323232323232,59.09090909090909,16.161616161616163,1.5151515151515151,0,0,0,0,23.509471674662986,n,P.glauca,2016-11-03_106754,-2557.327197265625
106754,2016-11-05,18.548387096774192,7.661290322580645,44.75806451612903,14.516129032258066,14.516129032258066,0,0,0,73.11124207673627,d,21.052631578947366,50.32894736842105,28.618421052631575,0,0,0,0,0,22.723693338155314,n,P.glauca,2016-11-05_106754,-2137.0483601888022
106754,2016-11-08,10.204081632653061,7.346938775510205,53.06122448979592,15.510204081632653,9.387755102040817,1.2244897959183674,0.8163265306122449,2.4489795918367347,114.77803640658628,d,41.342756183745585,42.75618374558304,13.780918727915195,2.1201413427561837,0,0,0,0,24.57677293884641,n,P.glauca,2016-11-08_106754,-1072.780029296875
106754,2016-11-10,34.01639344262295,2.8688524590163933,31.967213114754102,26.229508196721312,4.918032786885246,0,0,0,71.21809272057381,d,43.07228915662651,44.57831325301205,8.132530120481928,4.216867469879518,0,0,0,0,28.661016883881008,n,P.glauca,2016-11-10_106754,-1013.4099731445312
106754,2016-11-13,35.9504132231405,2.066115702479339,8.677685950413224,30.991735537190085,22.31404958677686,0,0,0,91.48552883122335,d,49.61832061068702,24.80916030534351,24.427480916030532,1.1450381679389312,0,0,0,0,27.383159568941693,n,P.glauca,2016-11-13_106754,-1692.3599853515625
106754,2016-11-14,42.30769230769231,1.282051282051282,4.487179487179487,15.384615384615385,36.53846153846153,0,0,0,110.68092819454024,d,67.3913043478261,15.217391304347828,10.869565217391305,4.710144927536232,1.8115942028985508,0,0,0,43.00280194321133,n,P.glauca,2016-11-14_106754,-2195.050048828125
106754,2016-11-15,31.818181818181817,5.785123966942149,9.917355371900827,15.702479338842975,36.77685950413223,0,0,0,112.36073039219865,d,67.17557251908397,23.282442748091604,6.870229007633588,2.6717557251908395,0,0,0,0,28.11405893895625,n,P.glauca,2016-11-15_106754,-2493.60498046875
106754,2016-11-18,27.083333333333332,7.083333333333333,16.25,31.666666666666664,17.916666666666668,0,0,0,84.82211571066347,d,39.77272727272727,38.63636363636363,13.257575757575758,1.5151515151515151,2.272727272727273,1.5151515151515151,0,3.0303030303030303,112.83176044139626,n,P.glauca,2016-11-18_106754,-2413.14990234375
106754,2016-11-21,5.46218487394958,4.621848739495799,21.428571428571427,21.84873949579832,46.63865546218487,0,0,0,81.71702828739446,d,5.670103092783505,32.47422680412371,51.546391752577314,10.309278350515463,0,0,0,0,31.039441112006166,n,P.glauca,2016-11-21_106754,-1687.3141504923503
106754,2016-11-22,0.8403361344537815,2.941176470588235,8.403361344537815,66.80672268907563,21.008403361344538,0,0,0,53.859535290563215,d,24.65753424657534,36.3013698630137,39.04109589041096,0,0,0,0,0,28.941950150384166,n,P.glauca,2016-11-22_106754,-1400.4333360460068
