"DateTime","depth","light","DateTime_local","num_day","temperature","dn","instrument_name","rownum","diveNo","date","track_DateTime","latitude","longitude","platform"
2017-11-03 19:00:00,NA,NA,2017-11-03 15:00:00,17473,NA,"d","159924_2017_163098",2,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:00:00,33.5,NA,2017-11-03 16:00:00,17473,NA,"d","159924_2017_163098",3,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:02:30,33.5,NA,2017-11-03 16:02:30,17473,NA,"d","159924_2017_163098",4,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:05:00,33.5,NA,2017-11-03 16:05:00,17473,NA,"d","159924_2017_163098",5,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:07:30,28.5,NA,2017-11-03 16:07:30,17473,NA,"d","159924_2017_163098",6,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:10:00,28.5,NA,2017-11-03 16:10:00,17473,NA,"d","159924_2017_163098",7,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:12:30,28.5,NA,2017-11-03 16:12:30,17473,NA,"d","159924_2017_163098",8,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:15:00,33.5,NA,2017-11-03 16:15:00,17473,NA,"d","159924_2017_163098",9,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:17:30,33.5,NA,2017-11-03 16:17:30,17473,NA,"d","159924_2017_163098",10,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:20:00,28.5,NA,2017-11-03 16:20:00,17473,NA,"d","159924_2017_163098",11,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:22:30,28.5,NA,2017-11-03 16:22:30,17473,NA,"d","159924_2017_163098",12,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:25:00,24,NA,2017-11-03 16:25:00,17473,NA,"d","159924_2017_163098",13,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:27:30,11,NA,2017-11-03 16:27:30,17473,NA,"d","159924_2017_163098",14,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:30:00,13,NA,2017-11-03 16:30:00,17473,NA,"d","159924_2017_163098",15,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:32:30,11,NA,2017-11-03 16:32:30,17473,NA,"d","159924_2017_163098",16,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:35:00,8.5,NA,2017-11-03 16:35:00,17473,NA,"d","159924_2017_163098",17,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:37:30,11,NA,2017-11-03 16:37:30,17473,NA,"d","159924_2017_163098",18,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:40:00,8.5,NA,2017-11-03 16:40:00,17473,NA,"d","159924_2017_163098",19,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:42:30,8.5,NA,2017-11-03 16:42:30,17473,NA,"d","159924_2017_163098",20,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:45:00,8.5,NA,2017-11-03 16:45:00,17473,NA,"d","159924_2017_163098",21,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:47:30,8.5,NA,2017-11-03 16:47:30,17473,NA,"d","159924_2017_163098",22,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:50:00,8.5,NA,2017-11-03 16:50:00,17473,NA,"d","159924_2017_163098",23,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:52:30,11,NA,2017-11-03 16:52:30,17473,NA,"d","159924_2017_163098",24,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:55:00,15.5,NA,2017-11-03 16:55:00,17473,NA,"d","159924_2017_163098",25,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 20:57:30,19,NA,2017-11-03 16:57:30,17473,NA,"d","159924_2017_163098",26,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:00:00,15.5,NA,2017-11-03 17:00:00,17473,NA,"d","159924_2017_163098",27,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:02:30,19,NA,2017-11-03 17:02:30,17473,NA,"d","159924_2017_163098",28,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:05:00,15.5,NA,2017-11-03 17:05:00,17473,NA,"d","159924_2017_163098",29,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:07:30,15.5,NA,2017-11-03 17:07:30,17473,NA,"d","159924_2017_163098",30,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:10:00,13,NA,2017-11-03 17:10:00,17473,NA,"d","159924_2017_163098",31,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:12:30,8.5,NA,2017-11-03 17:12:30,17473,NA,"d","159924_2017_163098",32,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:15:00,5.5,NA,2017-11-03 17:15:00,17473,NA,"d","159924_2017_163098",33,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:17:30,1.5,NA,2017-11-03 17:17:30,17473,NA,"d","159924_2017_163098",34,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:20:00,4,NA,2017-11-03 17:20:00,17473,NA,"d","159924_2017_163098",35,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:22:30,15.5,NA,2017-11-03 17:22:30,17473,NA,"d","159924_2017_163098",36,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:25:00,19,NA,2017-11-03 17:25:00,17473,NA,"d","159924_2017_163098",37,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:27:30,15.5,NA,2017-11-03 17:27:30,17473,NA,"d","159924_2017_163098",38,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:30:00,15.5,NA,2017-11-03 17:30:00,17473,NA,"n","159924_2017_163098",39,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:32:30,15.5,NA,2017-11-03 17:32:30,17473,NA,"n","159924_2017_163098",40,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:35:00,15.5,NA,2017-11-03 17:35:00,17473,NA,"n","159924_2017_163098",41,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
2017-11-03 21:37:30,13,NA,2017-11-03 17:37:30,17473,NA,"n","159924_2017_163098",42,NA,2017-11-03,2017-11-03 19:00:00,41.375,-69.35,"Isurus oxyrinchus"
