"DateTime","depth","light","temperature","DateTime_local","num_day","dn","instrument_name","rownum","diveNo","date","track_DateTime","latitude","longitude","platform"
2016-08-27 17:05:00,7,NA,20.2,2016-08-27 12:05:00,17040,"d","160424_2016_154096",29,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:07:30,5,NA,21.1,2016-08-27 12:07:30,17040,"d","160424_2016_154096",30,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:10:00,3.5,NA,21.1,2016-08-27 12:10:00,17040,"d","160424_2016_154096",31,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:12:30,5,NA,21.1,2016-08-27 12:12:30,17040,"d","160424_2016_154096",32,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:15:00,3.5,NA,21.1,2016-08-27 12:15:00,17040,"d","160424_2016_154096",33,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:17:30,0.5,NA,21.1,2016-08-27 12:17:30,17040,"d","160424_2016_154096",34,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:20:00,11.5,NA,19.4,2016-08-27 12:20:00,17040,"d","160424_2016_154096",35,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:22:30,9.5,NA,19.4,2016-08-27 12:22:30,17040,"d","160424_2016_154096",36,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:25:00,5,NA,20.2,2016-08-27 12:25:00,17040,"d","160424_2016_154096",37,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:27:30,1.5,NA,21.1,2016-08-27 12:27:30,17040,"d","160424_2016_154096",38,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:30:00,14.5,NA,18.5,2016-08-27 12:30:00,17040,"d","160424_2016_154096",39,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:32:30,18.5,NA,13.2,2016-08-27 12:32:30,17040,"d","160424_2016_154096",40,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:35:00,14.5,NA,18.5,2016-08-27 12:35:00,17040,"d","160424_2016_154096",41,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:37:30,7,NA,20.2,2016-08-27 12:37:30,17040,"d","160424_2016_154096",42,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:40:00,5,NA,21.1,2016-08-27 12:40:00,17040,"d","160424_2016_154096",43,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:42:30,0.5,NA,21.1,2016-08-27 12:42:30,17040,"d","160424_2016_154096",44,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:45:00,1.5,NA,21.1,2016-08-27 12:45:00,17040,"d","160424_2016_154096",45,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:47:30,9.5,NA,19.4,2016-08-27 12:47:30,17040,"d","160424_2016_154096",46,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:50:00,5,NA,20.2,2016-08-27 12:50:00,17040,"d","160424_2016_154096",47,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:52:30,5,NA,21.1,2016-08-27 12:52:30,17040,"d","160424_2016_154096",48,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:55:00,1.5,NA,21.1,2016-08-27 12:55:00,17040,"d","160424_2016_154096",49,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 17:57:30,11.5,NA,18.5,2016-08-27 12:57:30,17040,"d","160424_2016_154096",50,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:00:00,8,NA,20.3,2016-08-27 13:00:00,17040,"d","160424_2016_154096",51,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:02:30,8,NA,21,2016-08-27 13:02:30,17040,"d","160424_2016_154096",52,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:05:00,6,NA,21,2016-08-27 13:05:00,17040,"d","160424_2016_154096",53,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:07:30,8,NA,21,2016-08-27 13:07:30,17040,"d","160424_2016_154096",54,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:10:00,8,NA,20.3,2016-08-27 13:10:00,17040,"d","160424_2016_154096",55,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:12:30,8,NA,20.3,2016-08-27 13:12:30,17040,"d","160424_2016_154096",56,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:15:00,6,NA,21,2016-08-27 13:15:00,17040,"d","160424_2016_154096",57,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:17:30,6,NA,21,2016-08-27 13:17:30,17040,"d","160424_2016_154096",58,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:20:00,4,NA,21,2016-08-27 13:20:00,17040,"d","160424_2016_154096",59,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:22:30,1,NA,21,2016-08-27 13:22:30,17040,"d","160424_2016_154096",60,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:25:00,14.5,NA,15.2,2016-08-27 13:25:00,17040,"d","160424_2016_154096",61,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:27:30,8,NA,20.3,2016-08-27 13:27:30,17040,"d","160424_2016_154096",62,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:30:00,8,NA,20.3,2016-08-27 13:30:00,17040,"d","160424_2016_154096",63,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:32:30,8,NA,20.3,2016-08-27 13:32:30,17040,"d","160424_2016_154096",64,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:35:00,8,NA,21,2016-08-27 13:35:00,17040,"d","160424_2016_154096",65,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:37:30,6,NA,21,2016-08-27 13:37:30,17040,"d","160424_2016_154096",66,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:40:00,1,NA,21,2016-08-27 13:40:00,17040,"d","160424_2016_154096",67,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:42:30,5,NA,21,2016-08-27 13:42:30,17040,"d","160424_2016_154096",68,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:45:00,10,NA,21,2016-08-27 13:45:00,17040,"d","160424_2016_154096",69,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:47:30,4,NA,21,2016-08-27 13:47:30,17040,"d","160424_2016_154096",70,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:50:00,6,NA,20.3,2016-08-27 13:50:00,17040,"d","160424_2016_154096",71,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:52:30,6,NA,20.3,2016-08-27 13:52:30,17040,"d","160424_2016_154096",72,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:55:00,4,NA,21,2016-08-27 13:55:00,17040,"d","160424_2016_154096",73,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 18:57:30,1,NA,21,2016-08-27 13:57:30,17040,"d","160424_2016_154096",74,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:00:00,8,NA,20.3,2016-08-27 14:00:00,17040,"d","160424_2016_154096",75,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:02:30,6,NA,20.3,2016-08-27 14:02:30,17040,"d","160424_2016_154096",76,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:05:00,11.5,NA,18.8,2016-08-27 14:05:00,17040,"d","160424_2016_154096",77,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:07:30,8,NA,19.5,2016-08-27 14:07:30,17040,"d","160424_2016_154096",78,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:10:00,6,NA,20.3,2016-08-27 14:10:00,17040,"d","160424_2016_154096",79,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:12:30,5,NA,20.3,2016-08-27 14:12:30,17040,"d","160424_2016_154096",80,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:15:00,1,NA,21,2016-08-27 14:15:00,17040,"d","160424_2016_154096",81,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:17:30,10,NA,19.5,2016-08-27 14:17:30,17040,"d","160424_2016_154096",82,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:20:00,8,NA,19.5,2016-08-27 14:20:00,17040,"d","160424_2016_154096",83,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:22:30,11.5,NA,19.5,2016-08-27 14:22:30,17040,"d","160424_2016_154096",84,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:25:00,11.5,NA,20.3,2016-08-27 14:25:00,17040,"d","160424_2016_154096",85,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:27:30,11.5,NA,20.3,2016-08-27 14:27:30,17040,"d","160424_2016_154096",86,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:30:00,11.5,NA,21,2016-08-27 14:30:00,17040,"d","160424_2016_154096",87,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:32:30,10,NA,20.3,2016-08-27 14:32:30,17040,"d","160424_2016_154096",88,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
2016-08-27 19:35:00,10,NA,20.3,2016-08-27 14:35:00,17040,"d","160424_2016_154096",89,NA,2016-08-27,2016-08-27,41.0945666699999,-69.38033333,"Prionace glauca"
